distance = 435	width = 103	time = 587	ID = 3.0783710635528725
distance = 81	width = 174	time = 415	ID = -0.10309349296410361
distance = 202	width = 205	time = 571	ID = 0.9787313832463488
distance = 368	width = 8	time = 975	ID = 6.523561956057013
distance = 232	width = 276	time = 677	ID = 0.7494565383494031
distance = 427	width = 45	time = 979	ID = 4.246239163290816
distance = 275	width = 225	time = 530	ID = 1.289506617194985
distance = 227	width = 335	time = 457	ID = 0.4385312019457802
distance = 197	width = 187	time = 497	ID = 1.0751573595687396
distance = 329	width = 212	time = 596	ID = 1.6340233191720424
distance = 223	width = 284	time = 482	ID = 0.6511527804156226
distance = 7	width = 473	time = 390	ID = -5.078341451281791
distance = 324	width = 192	time = 505	ID = 1.7548875021634687
distance = 221	width = 305	time = 465	ID = 0.535237126941183
distance = 417	width = 233	time = 522	ID = 1.8397174287903832
distance = 21	width = 441	time = 440	ID = -3.3923174227787602
distance = 330	width = 257	time = 562	ID = 1.360697665051938
distance = 119	width = 185	time = 539	ID = 0.36343630279163136
distance = 7	width = 477	time = 505	ID = -5.090490533947908
distance = 219	width = 287	time = 538	ID = 0.6098801329254855
